text,label
dung được sản_phẩm tot cam on cửa_hàng đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời,0
chất_lượng sản_phẩm tuyệt_vời son mịn nhưng khi đánh lên không như màu trên ảnh,0
chất_lượng sản_phẩm tuyệt_vời nhưng không có hộp không có dây giày đen không có tất,0
mình hơi thất_vọng 1 chút vì mình đã kỳ_vọng cuốn sách khá nhiều hi_vọng nó sẽ nói về việc học_tập của cách sinh_viên trường harvard ra_sao những nỗ_lực của họ như thế_nào 4h sáng tại_sao họ lại phải thức dậy vào thời_khắc đấy sau đó là cả một câu_chuyện ra_sao cái mình thực_sự cần ở đây là câu_chuyện ẩn dấu trong đó để tự bản_thân mỗi người cảm_nhận và đi sâu vào lòng người hơn còn cuốn sách này chỉ đơn_thuần là cuốn sách dạy kĩ_năng mà hầu_như sách nào cũng đã có buồn,1
lần trước mình mua áo_gió màu hồng rất tốt mà đợt này lại giao 2 cái áo_gió chất khác như vải mưa ý,1
chất_lượng sản_phẩm tuyệt_vời có điều không cứng_cáp với không cố_định dáng nói_chung đẹp hợp túi tiền,0
đã nhận được hàng rất nhanh mới đặt buổi tối mà trưa mai là có rồi đóng_gói sản_phẩm rất đẹp và chắc_chắn cửa_hàng phục_vụ rất tốt,0
các siêu_phẩm thấy cấu_hình toàn tựa tựa nhau không còn sự đột_phá lớn nữa chỉ là nâng_cấp khác nhau về kiểu_dáng htc này với giá trên thật lòng khó cạnh_tranh mạnh với siêu_phẩm khác chỉ dành cho fan của họ thôi,1
hàng vận_chuyển nhanh chất_lượng tốt tư_vấn nhiệt_tình vận_chuyển rất đung size sẽ ủng_hộ cửa_hàng nhìu,0
đồng_hồ đẹp nhưng 1 cái đứt dây 1 cái không chạy mua ve phải sửa,1
chất_lượng sản_phẩm tuyệt vờiy hình chụpđáng tiền,0
hjhj cửa_hàng giao hàng nhanh quá đẹp lắm ạ bé nhà mình rất thích,0
nhìn đẹp phết nhỉ,0
đóng gói rất đẹp chất_lượng sản_phẩm rất tốt chất_lượng sản_phẩm tuyệt_vời,0
săn được với giá 11k toẹt vời,0
tốt rất hài_lòng,0
giao thiếu mình cái này rồi cửa_hàng ơi,1
chất_lượng sản_phẩm tuyệt_vời tôi rất thích,0
giày đẹp lắm có điều dây hơi ngắn tí ạ chất_lượng sản_phẩm tuyệt_vời,0
yếm vải đẹp nhưng ít mẫu đẹp,0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn cửa_hàng phục_vụ rất tốt rất đáng tiền rất đáng tiền giao hàng hôm sau là có,0
không hài_lòng sản_phẩm cho lắm giặt lan đầu_tiên da nhoe màu hết rồi,1
giao hàng nhanh mặc đẹp cám_ơn cửa_hàng,0
chất_lượng sản_phẩm tuyệt_vời bao_bì cute phô mai que son đánh mịn cực không có bị bột à còn giao hành rất nhanh luôn,0
đồng_hồ thì đẹp thật nhưng tại_sao kim lúc chạy lúc đứng nhắn_tin thì không trả_lời mấy bạn lưu_ý đừng mua nữa,1
giao hàng siêu nhanh đóng_gói cẩn_thận và tư_vấn nhiệt_tình hạt điều thấm vị và giòn,0
cũng hơi bất_tiện xu_thế này e_rằng đa phằn người dùng sẽ không ưa_thích,1
toàn hàng trungkhi mua quên không coi kĩ,1
đóng gói sản_phẩm rất đẹp và chắc_chắn được cửa_hàng tặng thêm quà nữa,0
hôm_nay chiên thử cá_hồi cá_chiên ăn ngọt hơn chiên kiểu truyền_thống vì giữ được nước chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn,0
máy này có cái cpu không phải skylake là thấy không hay rồi,1
hàng vận_chuyển bị nứt mẻ 1 góhất lượng tốt,0
sạc tự_động ngắt pin,0
cửa_hàng giao hàng kh giống màu,1
cửa_hàng giao sai màu đặt màu xanh da_trời cửa_hàng giao màu nõn chuối đặc_biệt sản_phẩm đã sai màu còn bị vỡ phần nắp và chốt không sử_dụng được chat cửa_hàng không trả_lời đến lúc khách nhấn hoàn hàng mới trả_lời sơ_sài và không đồng_ý hoàn rất thất_vọng về cách làm_việc của cửa_hàng may_mà shop lấy lại công_bằng và hoàn tiền,1
khong thay den sang,1
so với giá thì chất_lượng tuyệt_vời capo khá chắc_chắn và đẹp,0
không cầm pin không sử_dụng được chất_lượng sản_phẩm rất kém,1
những nước phát_triển hàng trăm năm cũng không ai làm tầng ngầm dưới đường_cao_tốc cả xe_điện_ngầm ra ngoại_ô cũng thành nổi để tiết_kiệm chi_phí,1
cửa hàng phục_vụ rất tốt thời_gian giao hàng rất nhanh,0
sản_phẩm tốt hỗ_trợ khách_hàng nhiệt_tình,0
giày đẹp mang êm và vừa chân lắm nha cửa_hàng,0
chất_liệu và kiểu_dáng thì được nhưng quần hơi ngắn,0
hàng bị lỗi nhiều quá màn_hình cháy phim bị bong,1
chất_lượng sản_phẩm tuyệt_vời thời_gian giao hàng rất nhanh ngon sẽ ủng_hộ cửa_hàng dài_dài,0
